iter	Accuracy	Logloss
105	0.8588313078	0.3030098809
106	0.8588649669	0.3029771808
107	0.8589154555	0.3029453568
108	0.8589443062	0.3028929576
109	0.858920264	0.3028532078
110	0.8589250724	0.3028227131
111	0.8589346893	0.3027821257
112	0.8589587315	0.3027446373
113	0.8589611358	0.3027045045
114	0.85896354	0.3026567707
115	0.8589587315	0.3026177213
116	0.8589899864	0.3025824694
117	0.8590212413	0.3025493497
118	0.8590188371	0.302524293
119	0.859028454	0.3024900751
120	0.859093368	0.3024585292
121	0.8590621131	0.3024370045
122	0.8591101975	0.3024069526
123	0.8591342397	0.3023684898
124	0.8591342397	0.3023244065
125	0.8591606862	0.3023013761
126	0.8591198144	0.3022799898
127	0.8591318355	0.3022423319
128	0.8591606862	0.3022183902
129	0.8591558777	0.302182499
130	0.8591558777	0.3021485233
131	0.8591799199	0.3021060847
132	0.8591414524	0.3020691703
133	0.8591871326	0.3020417586
134	0.8591606862	0.3020058727
135	0.8591823242	0.3019790254
136	0.8592039622	0.3019564002
137	0.8592159833	0.3019259254
138	0.8592328128	0.3018904677
139	0.859256855	0.3018520558
140	0.8592953226	0.3018185239
141	0.8593890872	0.30178837
142	0.859429959	0.3017556703
143	0.8594876603	0.3017369147
144	0.8594588097	0.301695758
145	0.8595309363	0.3016744025
146	0.8595237237	0.301651364
147	0.8595525743	0.3016310925
148	0.8595621912	0.3016075008
149	0.8595958503	0.3015707781
150	0.8595934461	0.3015410159
151	0.8595958503	0.3015187218
152	0.8596415305	0.3014891672
153	0.8596295094	0.3014723168
154	0.8596391263	0.3014438059
155	0.8597016361	0.3014152953
156	0.8596944234	0.3013892624
157	0.8597136572	0.301363956
158	0.859711253	0.3013414586
159	0.8596992319	0.3013129151
160	0.8596848065	0.3012985595
161	0.8596655727	0.3012698552
162	0.8596968276	0.3012525313
163	0.8596920192	0.3012311664
164	0.8596872107	0.301211998
165	0.859711253	0.3011934025
166	0.8597280825	0.3011721798
167	0.8597785712	0.3011570509
168	0.8598026134	0.3011348237
169	0.8598218472	0.3011171744
170	0.8597713585	0.3010930307
171	0.8598146345	0.3010694884
172	0.8598074218	0.3010486254
173	0.8597978049	0.3010313205
174	0.8598146345	0.3010096327
175	0.8598098261	0.3009915524
176	0.8598218472	0.3009667709
177	0.8598218472	0.3009448349
178	0.8598290598	0.3009231399
179	0.8598458894	0.3009011287
