iter	Passed	Remaining
402	11573	17144
403	11603	17117
404	11632	17090
405	11662	17063
406	11689	17031
407	11719	17004
408	11749	16978
409	11779	16950
410	11810	16925
411	11837	16894
412	11866	16866
413	11892	16832
414	11920	16803
415	11949	16775
416	11979	16747
417	12003	16712
418	12031	16682
419	12061	16656
420	12089	16626
421	12116	16596
422	12145	16566
423	12175	16540
424	12204	16512
425	12237	16488
426	12267	16461
427	12293	16429
428	12323	16402
429	12354	16377
430	12383	16347
431	12413	16321
432	12441	16291
433	12472	16265
434	12503	16239
435	12534	16214
436	12564	16187
437	12596	16163
438	12627	16137
439	12657	16110
440	12686	16081
441	12716	16054
442	12747	16027
443	12777	16000
444	12808	15974
445	12839	15948
446	12865	15916
447	12897	15892
448	12925	15862
449	12955	15834
450	12983	15804
451	13010	15773
452	13039	15745
453	13069	15717
454	13099	15691
455	13129	15663
456	13159	15636
457	13189	15608
458	13214	15575
459	13243	15546
460	13287	15535
461	13318	15509
462	13345	15478
463	13376	15452
464	13407	15425
465	13432	15392
466	13461	15364
467	13490	15335
468	13521	15308
469	13552	15282
470	13581	15254
471	13611	15226
472	13633	15189
473	13661	15160
474	13690	15132
475	13719	15103
476	13751	15077
477	13778	15046
478	13808	15018
479	13837	14990
480	13862	14957
481	13887	14924
482	13917	14897
483	13948	14870
484	13976	14840
485	14005	14812
486	14035	14785
487	14065	14756
488	14096	14730
489	14127	14703
490	14159	14678
491	14192	14654
492	14219	14623
493	14249	14595
494	14280	14569
495	14306	14537
496	14335	14508
497	14365	14480
498	14393	14451
499	14418	14418
500	14449	14391
501	14480	14364
502	14512	14339
503	14540	14309
504	14568	14280
505	14596	14249
506	14628	14224
507	14661	14200
508	14692	14172
509	14721	14144
510	14750	14115
511	14778	14086
512	14811	14061
513	14836	14027
514	14866	14000
515	14893	13969
516	14924	13943
517	14953	13914
518	14981	13884
519	15010	13856
520	15036	13824
521	15067	13797
522	15096	13768
523	15123	13737
524	15153	13710
525	15182	13681
526	15212	13654
527	15242	13625
528	15267	13593
529	15295	13563
530	15326	13536
531	15358	13510
532	15390	13484
533	15419	13455
534	15449	13427
535	15479	13399
536	15510	13373
537	15540	13344
538	15568	13315
539	15597	13286
540	15626	13258
541	15653	13227
542	15684	13200
543	15716	13174
544	15741	13142
545	15769	13112
546	15805	13089
547	15837	13063
548	15868	13036
549	15898	13008
550	15928	12979
551	15956	12950
552	15979	12916
553	16007	12886
554	16032	12854
555	16060	12824
556	16091	12797
557	16121	12769
558	16148	12739
559	16174	12708
560	16201	12678
561	16230	12649
562	16261	12622
563	16291	12593
564	16321	12566
565	16348	12536
566	16377	12507
567	16408	12479
568	16434	12448
569	16464	12420
570	16494	12392
571	16523	12363
572	16549	12332
573	16576	12302
574	16605	12273
575	16637	12246
576	16666	12218
577	16695	12189
578	16723	12159
579	16752	12131
580	16782	12103
581	16814	12076
582	16843	12047
583	16874	12020
584	16904	11992
585	16933	11963
586	16961	11933
587	16994	11907
588	17026	11880
589	17051	11849
590	17081	11821
591	17109	11791
592	17137	11762
593	17168	11734
594	17197	11706
595	17226	11677
596	17259	11650
597	17289	11622
598	17314	11591
599	17342	11561
600	17368	11530
601	17398	11502
602	17426	11473
603	17455	11444
604	17484	11415
605	17512	11385
606	17540	11356
607	17566	11326
608	17593	11295
609	17624	11268
610	17656	11241
611	17689	11214
612	17721	11187
613	17752	11160
614	17782	11131
615	17812	11103
616	17842	11075
617	17872	11047
618	17904	11020
619	17929	10989
620	17957	10959
621	17986	10930
622	18017	10902
623	18047	10874
624	18074	10844
625	18103	10815
626	18136	10789
627	18165	10760
628	18196	10732
629	18226	10704
630	18256	10675
631	18287	10648
632	18318	10620
633	18345	10590
634	18373	10560
635	18403	10532
636	18429	10502
637	18459	10473
638	18491	10446
639	18523	10419
640	18553	10390
641	18582	10362
642	18613	10334
643	18644	10306
644	18677	10279
645	18709	10252
646	18738	10223
647	18767	10194
648	18795	10165
649	18824	10136
650	18854	10107
651	18884	10079
652	18915	10051
653	18948	10024
654	18980	9997
655	19009	9968
656	19037	9938
657	19060	9906
658	19091	9879
659	19121	9850
660	19152	9822
661	19208	9807
662	19239	9779
663	19270	9751
664	19300	9722
665	19329	9693
666	19359	9665
667	19388	9635
668	19420	9608
669	19446	9578
670	19476	9549
671	19508	9522
672	19538	9493
673	19567	9464
674	19597	9435
675	19624	9406
676	19653	9376
677	19682	9347
678	19713	9319
679	19743	9291
680	19774	9262
681	19803	9233
682	19832	9205
683	19861	9175
684	19892	9147
685	19924	9119
686	19953	9090
687	19985	9063
688	20015	9034
689	20042	9004
690	20069	8974
691	20100	8946
692	20133	8918
693	20163	8890
694	20190	8860
695	20219	8831
696	20250	8803
697	20283	8775
698	20310	8746
699	20340	8717
700	20370	8688
701	20399	8659
702	20431	8631
703	20462	8603
704	20490	8574
705	20517	8544
706	20547	8515
707	20579	8487
708	20608	8458
